EmployeeID,Name,Age,Gender,Department,City,Salary,Experience,PerformanceScore,JoinDate,Sales,Bonus
10023,Employee_22,,F,Operations,Mumbai,74744.0,9,3.74,2024-08-23,5412,24878
10024,Employee_23,32.0,F,HR,Bangalore,97949.0,11,3.61,2025-07-28,96592,19068
10025,Employee_24,42.0,F,HR,Delhi,56578.0,13,2.66,2025-09-18,95652,14376
10026,Employee_25,45.0,F,Finance,Mumbai,105262.0,7,1.4,2024-06-14,60687,1869
10027,Employee_26,47.0,M,Sales,Hyderabad,82331.0,15,4.64,2025-10-23,48855,6123
10028,Employee_27,48.0,F,IT,Delhi,117551.0,16,3.03,2024-01-13,97169,23259
10029,Employee_28,36.0,F,IT,Mumbai,88815.0,19,2.63,2024-07-25,81134,24596
10030,Employee_29,35.0,F,Marketing,Hyderabad,140926.0,3,3.36,2024-08-09,59190,24111
10031,Employee_30,23.0,F,Marketing,Hyderabad,96519.0,5,1.77,2023-12-23,11616,17926
10032,Employee_31,57.0,M,Finance,Pune,44178.0,11,1.53,2024-11-15,38448,3203
10033,Employee_32,27.0,M,IT,Bangalore,117526.0,17,2.62,2026-05-05,65579,20319
10034,Employee_33,41.0,M,Finance,Pune,100857.0,6,1.91,2025-05-07,34238,18135
10035,Employee_34,29.0,M,Sales,Mumbai,85197.0,4,1.98,2024-10-20,13101,3111
10036,Employee_35,59.0,F,HR,Chennai,134365.0,9,4.57,2023-02-04,76822,8276
10037,Employee_36,38.0,M,IT,Pune,61366.0,5,3.12,2025-10-03,53281,23083
10038,Employee_37,24.0,M,Operations,Chennai,77955.0,13,2.93,2024-04-05,51465,17930
10039,Employee_38,45.0,M,Sales,Hyderabad,124830.0,5,3.76,2024-12-18,12070,15586
10040,Employee_39,34.0,M,IT,Mumbai,131213.0,13,4.81,2024-05-26,29091,22345
10041,Employee_40,29.0,F,Operations,Bangalore,125273.0,11,1.45,2025-12-07,56698,19941
10042,Employee_41,46.0,M,Marketing,Chennai,66911.0,11,4.33,2026-04-23,59431,2571
10043,Employee_42,22.0,F,Finance,Mumbai,108422.0,7,3.34,2024-05-05,41702,7584
10044,Employee_43,,M,Marketing,Chennai,78619.0,9,1.58,2023-09-30,47739,20075
10045,Employee_44,48.0,F,HR,Pune,69296.0,15,2.19,2025-10-09,47707,24344
10046,Employee_45,27.0,F,Marketing,Mumbai,47791.0,19,2.93,2024-06-10,62025,10949
10047,Employee_46,28.0,M,IT,Pune,33301.0,7,3.76,2026-02-25,22742,5774
10048,Employee_47,55.0,M,Operations,Delhi,125658.0,8,1.97,2023-07-29,34050,13561
10049,Employee_48,34.0,M,Marketing,Mumbai,128623.0,12,3.14,2024-09-15,41377,1059
10050,Employee_49,37.0,M,IT,Chennai,123529.0,19,3.74,2026-03-11,65811,15102
10051,Employee_50,56.0,F,HR,Delhi,137824.0,16,2.79,2023-06-22,80964,23595
10052,Employee_51,60.0,F,Operations,Pune,60779.0,18,4.45,2024-03-22,3733,18722
10053,Employee_52,24.0,M,Marketing,Pune,61894.0,16,4.48,2026-02-16,70603,8001
10054,Employee_53,22.0,M,Finance,Chennai,123917.0,6,2.88,2023-01-11,85277,8948
10055,Employee_54,,F,Finance,Delhi,104618.0,0,4.89,2025-01-30,12127,19855
10056,Employee_55,24.0,M,Operations,Hyderabad,74250.0,19,1.3,2026-03-23,13010,16626
10057,Employee_56,49.0,F,Finance,Bangalore,95994.0,13,1.01,2023-11-19,37006,9754
10058,Employee_57,38.0,M,Marketing,Chennai,66770.0,16,2.52,2025-09-03,76500,10174
10059,Employee_58,46.0,F,Marketing,Pune,47300.0,12,3.4,2024-03-20,29653,21904
10060,Employee_59,54.0,F,Operations,Mumbai,143025.0,1,3.52,2023-12-08,25373,14046
10061,Employee_60,30.0,F,Marketing,Delhi,93235.0,13,2.91,2023-08-09,8210,9101
10062,Employee_61,56.0,F,IT,Hyderabad,54485.0,0,1.5,2023-04-20,67323,19114
10063,Employee_62,34.0,F,HR,Bangalore,145605.0,4,1.68,2024-02-14,25618,21723
10064,Employee_63,51.0,M,Finance,Mumbai,65285.0,6,4.41,2024-05-19,16060,8879
10065,Employee_64,35.0,F,IT,Delhi,91555.0,18,4.47,2023-02-09,46256,8800
10066,Employee_65,28.0,M,Operations,Hyderabad,142713.0,13,3.7,2023-09-20,94054,20431
10067,Employee_66,34.0,F,Finance,Chennai,57471.0,13,3.66,2026-02-15,66243,10549
10068,Employee_67,43.0,F,IT,Hyderabad,73671.0,14,3.39,2024-12-08,23168,22609
10069,Employee_68,60.0,M,Marketing,Chennai,143216.0,4,1.81,2025-04-02,54473,19169
10070,Employee_69,41.0,M,Operations,Delhi,45270.0,4,2.71,2024-04-05,29481,15198
10071,Employee_70,36.0,M,Operations,Hyderabad,113151.0,20,3.78,2026-02-15,87648,2962
10072,Employee_71,38.0,M,Finance,Bangalore,144870.0,1,,2023-08-05,72176,16136
10073,Employee_72,44.0,F,Marketing,Hyderabad,38698.0,17,1.07,2023-03-18,4410,8246
10074,Employee_73,46.0,M,Finance,Delhi,139454.0,8,4.81,2025-06-10,35126,10380
10075,Employee_74,45.0,F,Sales,Mumbai,128882.0,9,4.38,2026-04-10,92316,6965
10076,Employee_75,49.0,M,IT,Mumbai,97265.0,17,2.04,2024-01-25,77721,3678
10077,Employee_76,35.0,M,Sales,Hyderabad,64729.0,3,3.47,2025-11-15,82167,23489
10078,Employee_77,21.0,F,IT,Hyderabad,36171.0,7,4.69,2026-02-25,44201,14368
10079,Employee_78,45.0,F,HR,,104483.0,17,1.38,2024-01-09,17921,12199
10080,Employee_79,27.0,M,Operations,Delhi,85684.0,19,3.01,2024-10-15,95123,6307
10081,Employee_80,29.0,F,Finance,Chennai,80165.0,16,2.82,2025-06-22,54020,20507
10082,Employee_81,44.0,F,HR,Bangalore,74948.0,15,2.64,2025-11-13,38344,4143
10083,Employee_82,21.0,F,HR,Mumbai,59725.0,17,4.34,2025-01-13,21909,3800
10084,Employee_83,28.0,F,Operations,Pune,44450.0,6,2.52,2024-02-27,20967,17707
10085,Employee_84,,F,Operations,Pune,38300.0,0,1.25,2026-04-15,8898,19586
10086,Employee_85,31.0,F,IT,Delhi,109600.0,0,1.26,2025-05-02,51502,23586
10087,Employee_86,37.0,F,Sales,Delhi,29441.0,17,1.17,2025-04-10,42904,24826
10088,Employee_87,28.0,F,Marketing,Pune,136315.0,3,2.64,2025-08-30,80752,2794
10089,Employee_88,55.0,M,IT,Delhi,,19,3.87,2024-09-20,27399,11440
10090,Employee_89,55.0,F,Marketing,Mumbai,45115.0,20,1.81,2024-07-23,29474,3342
10091,Employee_90,53.0,M,HR,Bangalore,124405.0,19,3.59,2023-05-02,78934,12592
10092,Employee_91,25.0,F,Marketing,Bangalore,112404.0,3,3.75,2023-06-08,54459,11167
10093,Employee_92,59.0,F,Sales,Chennai,66997.0,5,2.02,2026-04-16,20309,20429
10094,Employee_93,48.0,F,IT,Mumbai,111151.0,2,3.4,2023-11-03,96194,2307
10095,Employee_94,27.0,F,Operations,Delhi,38615.0,5,3.74,2026-01-17,42955,16535
10096,Employee_95,29.0,M,Sales,Delhi,39732.0,12,2.87,2025-01-20,90117,15945
10097,Employee_96,28.0,M,Sales,Chennai,50367.0,6,2.35,2025-11-27,33010,15684
10098,Employee_97,32.0,F,IT,Chennai,135670.0,3,3.48,2024-08-13,15287,2455
10099,Employee_98,54.0,M,Operations,Delhi,67738.0,0,4.91,2023-12-12,23390,11621
10100,Employee_99,53.0,F,Sales,Delhi,136296.0,5,2.71,2023-05-29,9541,6391
10101,Employee_100,43.0,F,Operations,Mumbai,25981.0,4,2.57,2025-11-05,18921,3539
10102,Employee_101,44.0,M,Finance,Chennai,87881.0,12,2.86,2025-04-14,44937,4618
10103,Employee_102,57.0,M,Finance,Mumbai,83609.0,18,1.3,2025-02-19,52880,3378
10104,Employee_103,55.0,F,Finance,Hyderabad,112090.0,3,3.21,2023-04-28,41149,19589
10105,Employee_104,60.0,F,Marketing,Delhi,115855.0,5,2.31,2024-12-04,54498,13719
10106,Employee_105,42.0,M,Sales,Pune,106666.0,12,1.49,2023-11-13,96774,2139
10107,Employee_106,47.0,F,IT,Pune,109351.0,4,2.87,2023-10-15,68902,4591
10108,Employee_107,55.0,M,IT,Hyderabad,33566.0,12,1.01,2025-06-26,80030,22098
10109,Employee_108,21.0,F,Marketing,Delhi,116865.0,9,2.61,2023-10-24,40796,5714
10110,Employee_109,55.0,F,IT,Chennai,96885.0,2,1.42,2026-05-02,44196,11865
10111,Employee_110,57.0,M,Finance,Pune,143585.0,12,1.1,2024-03-18,63759,5667
10112,Employee_111,34.0,M,Sales,Chennai,35728.0,11,4.3,2025-06-19,77822,9457
10113,Employee_112,23.0,M,IT,Pune,130852.0,3,4.66,2023-10-28,7041,16757
10114,Employee_113,21.0,F,IT,Chennai,108911.0,9,1.83,2025-06-16,86521,9293
10115,Employee_114,25.0,F,HR,Pune,142616.0,2,3.16,2024-03-01,5174,16332
10116,Employee_115,46.0,F,HR,Chennai,112350.0,16,2.11,2023-09-07,63933,24542
10117,Employee_116,34.0,F,HR,Hyderabad,61214.0,8,,2024-11-16,34691,21357
10118,Employee_117,,M,Sales,Mumbai,146463.0,0,2.75,2025-01-21,89262,3269
10119,Employee_118,47.0,F,Finance,Chennai,,17,2.08,2025-09-24,94374,19867
10120,Employee_119,29.0,F,Operations,Mumbai,112081.0,8,3.8,2024-02-10,4303,18597
10121,Employee_120,35.0,F,Finance,Mumbai,70588.0,20,1.51,2025-03-11,47653,22119
10122,Employee_121,35.0,M,Finance,Delhi,43953.0,19,1.21,2023-09-01,28177,12184
10123,Employee_122,46.0,F,Sales,Hyderabad,93408.0,8,4.07,2024-01-02,10890,21813
10124,Employee_123,33.0,F,Sales,Mumbai,99904.0,1,3.66,2023-04-30,88500,10796
10125,Employee_124,52.0,M,HR,Bangalore,59103.0,18,2.99,2025-04-29,27806,16660
10126,Employee_125,59.0,F,IT,Mumbai,95949.0,15,2.87,2024-03-08,74136,15686
10127,Employee_126,52.0,F,Marketing,Chennai,119805.0,2,2.99,2023-07-02,92980,6995
10128,Employee_127,24.0,M,Marketing,Mumbai,74264.0,15,,2025-01-28,28230,1569
10129,Employee_128,50.0,F,Operations,Chennai,45156.0,20,2.57,2026-02-15,17466,2545
10130,Employee_129,57.0,F,IT,Chennai,38423.0,12,3.0,2023-01-31,17476,1908
10131,Employee_130,43.0,F,Operations,Bangalore,63062.0,2,3.11,2025-09-03,98557,5462
10132,Employee_131,59.0,M,HR,Mumbai,67805.0,9,3.77,2026-03-18,56912,5083
10133,Employee_132,35.0,F,Operations,Mumbai,26987.0,17,3.84,2024-06-11,28732,4340
10134,Employee_133,49.0,F,IT,Pune,87979.0,5,2.51,2025-05-13,8375,7947
10135,Employee_134,56.0,M,IT,Pune,62597.0,5,2.65,2023-04-12,8837,8039
10136,Employee_135,33.0,M,Marketing,Delhi,108905.0,17,2.49,2025-12-31,24108,8112
10137,Employee_136,,F,HR,Chennai,52868.0,5,,2024-09-14,18851,19809
10138,Employee_137,27.0,F,Sales,Bangalore,101970.0,5,2.81,2025-03-15,27600,12410
10139,Employee_138,42.0,F,Operations,Pune,88805.0,12,4.56,2024-02-12,16188,8155
10140,Employee_139,48.0,F,Marketing,Mumbai,144779.0,13,3.79,2025-04-09,45777,7670
10141,Employee_140,22.0,M,Operations,Delhi,105084.0,20,4.59,2025-02-27,6489,19256
10142,Employee_141,26.0,F,Operations,Bangalore,41636.0,6,3.84,2024-09-09,85618,5909
10143,Employee_142,48.0,M,Sales,Hyderabad,82467.0,12,4.88,2024-07-02,75519,9397
10144,Employee_143,48.0,M,HR,Mumbai,122919.0,14,3.54,2023-10-18,99779,16592
10145,Employee_144,40.0,F,IT,Mumbai,132732.0,11,4.85,2024-02-26,9695,18199
10146,Employee_145,50.0,F,Finance,Hyderabad,42007.0,20,1.63,2023-06-30,1230,17449
10147,Employee_146,31.0,M,Operations,Chennai,126460.0,0,1.21,2024-10-16,33103,13237
10148,Employee_147,48.0,M,Finance,Chennai,120747.0,2,3.32,2023-04-24,27350,3051
10149,Employee_148,45.0,F,HR,Pune,101864.0,17,4.93,2026-01-22,77818,1002
10150,Employee_149,59.0,M,Finance,Pune,28389.0,7,2.67,2023-09-17,52408,24810
10151,Employee_150,53.0,F,Operations,Mumbai,143105.0,1,1.85,2026-02-04,21354,15026
10152,Employee_151,21.0,F,Sales,Mumbai,149535.0,3,3.09,2023-09-01,95338,1324
10153,Employee_152,47.0,M,Finance,Pune,34458.0,17,3.6,2024-02-27,50535,7134
10154,Employee_153,33.0,M,HR,Hyderabad,93481.0,12,2.26,2023-12-01,12355,17988
10155,Employee_154,23.0,F,HR,Pune,99888.0,14,3.86,2025-11-12,31238,22275
10156,Employee_155,59.0,M,Sales,,101022.0,1,4.9,2023-09-28,18144,19966
10157,Employee_156,26.0,F,Finance,Bangalore,66400.0,9,4.59,2026-03-09,71779,4122
10158,Employee_157,28.0,F,Finance,Mumbai,92628.0,1,2.17,2024-03-29,86872,16829
10159,Employee_158,,F,IT,Bangalore,76857.0,20,2.31,2024-08-16,51094,20498
10160,Employee_159,29.0,M,Marketing,Bangalore,89367.0,11,2.49,2025-10-06,84216,12467
10161,Employee_160,57.0,F,HR,Mumbai,61527.0,4,2.58,2025-05-05,11594,1346
10162,Employee_161,53.0,F,IT,Delhi,95648.0,11,1.4,2026-03-25,85067,14369
10163,Employee_162,44.0,F,HR,Pune,41937.0,0,4.05,2023-05-12,92751,13346
10164,Employee_163,35.0,F,IT,Chennai,62672.0,1,2.46,2025-02-06,17992,14997
10165,Employee_164,52.0,F,Marketing,Mumbai,136562.0,15,4.52,2024-05-15,97059,11750
10166,Employee_165,52.0,F,IT,Bangalore,26112.0,1,4.71,2026-03-09,76978,12581
10167,Employee_166,44.0,F,HR,Mumbai,60545.0,15,1.1,2023-05-15,61436,4443
10168,Employee_167,32.0,F,Finance,Pune,122276.0,19,4.95,2025-02-05,30893,19638
10169,Employee_168,59.0,F,HR,Hyderabad,114017.0,15,3.84,2025-03-22,90236,1022
10170,Employee_169,22.0,F,Operations,Bangalore,73355.0,5,3.08,2025-02-08,44388,21200
10171,Employee_170,23.0,F,Sales,Chennai,100561.0,12,2.56,2023-04-04,14042,11155
10172,Employee_171,57.0,M,Sales,Chennai,59082.0,11,3.07,2023-06-14,28577,14074
10173,Employee_172,37.0,F,Operations,Chennai,143181.0,9,2.3,2023-11-21,14494,19091
10174,Employee_173,22.0,F,Sales,Hyderabad,85482.0,4,3.49,2026-05-26,87811,12274
10175,Employee_174,22.0,F,Sales,Delhi,104098.0,7,1.37,2025-07-28,40248,7715
10176,Employee_175,48.0,M,Marketing,Bangalore,36304.0,5,3.48,2024-09-11,90425,7053
10177,Employee_176,43.0,F,Finance,Hyderabad,147978.0,4,2.1,2023-08-19,35762,21199
10178,Employee_177,57.0,M,Finance,Bangalore,,19,1.07,2024-08-04,82709,1514
10179,Employee_178,52.0,F,HR,Hyderabad,97551.0,5,3.21,2025-01-02,74304,23671
10180,Employee_179,53.0,F,Operations,Hyderabad,69885.0,16,3.31,2026-04-17,79045,4039
10181,Employee_180,21.0,M,IT,,,5,2.71,2026-01-08,2011,6861
10182,Employee_181,39.0,F,HR,Bangalore,96246.0,16,1.29,2024-11-01,89823,20240
10183,Employee_182,22.0,M,HR,Hyderabad,37588.0,4,4.57,2026-03-30,98688,19725
10184,Employee_183,46.0,M,HR,Delhi,140910.0,16,3.45,2024-02-07,62382,7336
10185,Employee_184,52.0,F,HR,Mumbai,45967.0,16,1.46,2025-11-21,83608,4362
10186,Employee_185,26.0,F,Finance,Pune,112440.0,12,,2023-05-01,37836,4490
10187,Employee_186,52.0,F,IT,Hyderabad,49256.0,6,2.99,2024-12-27,62557,19891
10188,Employee_187,24.0,F,HR,Chennai,83348.0,20,1.24,2024-01-20,62613,6167
10189,Employee_188,31.0,M,Finance,Delhi,50052.0,5,3.43,2024-04-20,25281,4178
10190,Employee_189,37.0,M,HR,Delhi,105972.0,13,4.23,2024-07-13,97574,24815
10191,Employee_190,58.0,F,Sales,Hyderabad,112351.0,15,4.0,2026-04-05,16948,20708
10192,Employee_191,,M,HR,Delhi,83479.0,2,1.81,2024-01-24,24639,18928
10193,Employee_192,25.0,M,Operations,Mumbai,105732.0,8,4.45,2025-02-28,11236,23235
10194,Employee_193,54.0,F,Operations,,85200.0,14,2.37,2025-01-22,25459,12421
10195,Employee_194,26.0,M,HR,Pune,108625.0,20,4.79,2024-12-04,65589,7172
10196,Employee_195,42.0,M,Marketing,Pune,140205.0,17,1.29,2023-02-22,91552,22017
10197,Employee_196,31.0,F,Sales,Chennai,,9,2.94,2024-07-20,26800,10941
10198,Employee_197,36.0,M,IT,,27506.0,9,3.39,2025-03-31,31271,23670
10199,Employee_198,53.0,F,HR,Pune,123120.0,2,1.99,2025-11-10,96157,19649
10200,Employee_199,29.0,M,IT,Hyderabad,45709.0,0,4.09,2025-11-08,5178,13880
10201,Employee_200,26.0,F,Sales,Bangalore,83535.0,2,3.51,2025-05-11,98984,9904
10202,Employee_201,36.0,M,HR,Bangalore,69840.0,4,1.07,2023-11-18,14276,9258
10203,Employee_202,49.0,M,Marketing,Bangalore,139440.0,6,3.43,2025-04-06,15828,23671
10204,Employee_203,23.0,F,Finance,Hyderabad,137647.0,2,2.97,2024-03-08,7149,6260
10205,Employee_204,40.0,F,Marketing,Delhi,85587.0,3,1.78,2025-12-18,93864,14657
10206,Employee_205,56.0,F,Marketing,Hyderabad,84321.0,16,4.98,2026-03-20,84672,5191
10207,Employee_206,39.0,F,Finance,Delhi,128783.0,2,4.59,2023-02-27,30018,12381
10208,Employee_207,46.0,M,Finance,Bangalore,68202.0,3,2.17,2025-10-14,54781,17056
10209,Employee_208,23.0,M,Operations,Chennai,81588.0,1,3.16,2025-01-20,32376,22283
10210,Employee_209,39.0,M,Finance,Chennai,28090.0,13,2.27,2023-07-01,44962,2467
10211,Employee_210,40.0,F,HR,Delhi,,4,4.1,2024-08-29,72452,22236
10212,Employee_211,52.0,M,IT,Bangalore,84231.0,20,4.72,2026-01-06,5546,7101
10213,Employee_212,27.0,M,Operations,Hyderabad,46552.0,1,2.44,2025-08-18,61560,8547
10214,Employee_213,,F,Operations,Chennai,119671.0,14,4.22,2023-04-15,16361,3760
10215,Employee_214,60.0,F,IT,Delhi,105227.0,10,2.99,2024-08-29,69895,7421
10216,Employee_215,59.0,M,Operations,Hyderabad,130297.0,9,2.59,2026-05-31,55165,13648
10217,Employee_216,38.0,F,Finance,Bangalore,58741.0,19,4.75,2025-09-16,78670,2393
10218,Employee_217,60.0,M,Marketing,Mumbai,46661.0,0,3.04,2024-04-28,96161,4693
10219,Employee_218,21.0,M,Sales,Bangalore,66025.0,18,2.87,2023-05-09,41372,13499
10220,Employee_219,31.0,F,Finance,Bangalore,31092.0,13,3.69,2023-11-15,37782,22762
10221,Employee_220,48.0,M,Marketing,Hyderabad,60674.0,13,2.04,2024-12-07,1899,19083
10222,Employee_221,45.0,F,Marketing,Hyderabad,25570.0,0,2.3,2024-05-23,97628,18504
10223,Employee_222,43.0,F,Operations,Pune,37084.0,8,4.73,2023-01-20,99956,6329
10224,Employee_223,51.0,M,HR,Pune,90843.0,16,3.71,2025-01-21,1982,18955
10225,Employee_224,50.0,M,HR,Hyderabad,85752.0,13,4.31,2023-08-23,99879,14065
10226,Employee_225,55.0,M,Operations,Hyderabad,94278.0,12,2.08,2024-08-28,75060,16971
10227,Employee_226,27.0,F,Operations,Mumbai,132278.0,12,3.18,2024-07-07,70843,15356
10228,Employee_227,36.0,M,IT,Mumbai,119328.0,5,4.89,2024-03-28,73289,18112
10229,Employee_228,46.0,F,IT,Bangalore,25765.0,6,2.27,2024-08-08,44173,12696
10230,Employee_229,22.0,F,Sales,Chennai,132268.0,1,1.64,2025-09-10,98436,17999
10231,Employee_230,21.0,M,Sales,Mumbai,49198.0,7,3.04,2024-02-27,41508,1370
10232,Employee_231,32.0,F,Sales,Bangalore,86201.0,5,2.55,2026-04-28,83975,7767
10233,Employee_232,25.0,M,Sales,Delhi,98271.0,2,1.64,2026-02-22,39794,22722
10234,Employee_233,57.0,M,Marketing,Pune,106738.0,17,4.55,2023-01-06,21753,22326
10235,Employee_234,52.0,M,Marketing,Chennai,72199.0,17,4.96,2024-04-02,70131,10139
10236,Employee_235,29.0,M,IT,Bangalore,36377.0,5,3.27,2024-07-07,21211,18503
10237,Employee_236,55.0,M,HR,Hyderabad,136578.0,10,4.1,2024-06-05,28238,10647
10238,Employee_237,39.0,M,Operations,Delhi,104833.0,2,4.44,2026-01-17,85243,23715
10239,Employee_238,36.0,M,HR,Pune,33036.0,15,,2025-04-25,47086,24403
10240,Employee_239,23.0,F,Finance,Delhi,65364.0,4,1.18,2026-02-08,68418,3422
10241,Employee_240,40.0,M,Marketing,Bangalore,140227.0,1,1.63,2024-07-04,28639,8590
10242,Employee_241,44.0,F,Sales,Mumbai,114905.0,14,,2023-01-11,80302,14455
10243,Employee_242,53.0,F,Sales,Pune,125353.0,15,1.04,2024-05-11,67689,15341
10244,Employee_243,44.0,F,Finance,Delhi,142971.0,6,2.22,2025-11-05,58440,10532
10245,Employee_244,31.0,M,HR,Mumbai,62443.0,15,2.57,2025-11-22,83196,14541
10246,Employee_245,28.0,F,Sales,Chennai,26663.0,3,1.96,2025-01-14,39172,16481
10247,Employee_246,56.0,F,HR,Bangalore,64244.0,15,1.26,2024-05-03,39060,10710
10248,Employee_247,58.0,M,Operations,,83391.0,16,3.12,2026-04-26,91443,6825
10249,Employee_248,60.0,M,Finance,Pune,102564.0,1,2.09,2025-01-05,54350,7760
10250,Employee_249,40.0,F,HR,Delhi,110359.0,15,4.18,2024-04-02,77779,11151
10251,Employee_250,55.0,M,Operations,Chennai,40077.0,3,1.03,2025-12-10,53848,9902
10252,Employee_251,45.0,M,HR,Hyderabad,82849.0,6,4.37,2024-04-08,86122,21954
10253,Employee_252,55.0,M,HR,Pune,130447.0,17,4.82,2023-02-12,52238,1573
10254,Employee_253,45.0,M,Sales,Hyderabad,,5,3.86,2024-06-22,17690,17891
10255,Employee_254,49.0,F,IT,Pune,77652.0,17,3.93,2024-07-21,7663,24119
10256,Employee_255,38.0,M,Marketing,Delhi,92446.0,6,4.73,2023-05-01,7189,3222
10257,Employee_256,38.0,M,HR,Chennai,58500.0,1,1.84,2024-09-16,21673,18678
10258,Employee_257,22.0,M,HR,Delhi,44897.0,18,4.98,2023-11-12,4589,1787
10259,Employee_258,55.0,F,HR,Bangalore,83915.0,8,4.09,2025-10-18,50007,5667
10260,Employee_259,36.0,F,IT,Hyderabad,62377.0,3,3.91,2026-02-12,41104,19617
10261,Employee_260,56.0,M,Operations,Mumbai,101670.0,13,2.44,2024-09-12,82017,12357
10262,Employee_261,53.0,M,Finance,Bangalore,127760.0,4,3.18,2024-03-29,88028,21034
10263,Employee_262,24.0,F,Sales,Bangalore,51897.0,6,3.62,2024-11-17,48310,13801
10264,Employee_263,53.0,M,IT,Hyderabad,72280.0,7,3.48,2024-09-15,3162,20633
10265,Employee_264,34.0,M,Operations,Pune,126639.0,14,3.82,2024-09-03,81110,7071
10266,Employee_265,41.0,F,HR,Bangalore,138849.0,18,1.33,2025-08-16,24093,17348
10267,Employee_266,40.0,M,Operations,Chennai,136118.0,10,2.42,2024-10-08,96400,21420
10268,Employee_267,,M,IT,Bangalore,,19,2.74,2025-02-01,6167,2709
10269,Employee_268,27.0,F,IT,Chennai,97592.0,3,2.04,2023-08-28,44743,17261
10270,Employee_269,23.0,F,IT,Delhi,119486.0,17,1.69,2025-01-03,20525,13167
10271,Employee_270,37.0,M,Finance,Pune,93289.0,13,1.56,2026-03-14,21987,13582
10272,Employee_271,53.0,F,Marketing,Chennai,,5,2.47,2024-01-12,83074,16590
10273,Employee_272,32.0,M,Sales,Bangalore,124676.0,15,2.97,2023-01-04,70166,22596
10274,Employee_273,,M,Finance,Pune,39234.0,17,1.25,2025-03-04,9652,2510
10275,Employee_274,42.0,M,Finance,Pune,100172.0,0,4.79,2025-04-25,91902,23287
10276,Employee_275,50.0,F,Marketing,Chennai,28376.0,7,4.06,2023-07-16,97572,12738
10277,Employee_276,58.0,F,Finance,Chennai,55783.0,0,3.92,2024-01-24,53861,15374
10278,Employee_277,58.0,M,IT,Mumbai,66249.0,0,1.69,2023-09-18,68403,24936
10279,Employee_278,28.0,M,IT,Mumbai,68025.0,18,3.42,2024-08-25,27264,4506
10280,Employee_279,47.0,F,Operations,Pune,,20,3.12,2023-04-04,1576,23462
10281,Employee_280,47.0,F,HR,Hyderabad,110865.0,9,4.93,2023-05-16,73799,23816
10282,Employee_281,54.0,F,Finance,Hyderabad,41713.0,17,3.99,2024-06-08,4764,4633
10283,Employee_282,41.0,M,HR,Mumbai,29858.0,11,3.3,2024-05-12,60887,18845
10284,Employee_283,50.0,F,Sales,Bangalore,76115.0,16,4.4,2026-04-16,25937,23298
10285,Employee_284,53.0,F,IT,Delhi,110008.0,0,1.62,2023-04-22,34224,7352
10286,Employee_285,,M,Operations,Pune,84834.0,7,1.06,2024-01-04,94361,3171
10287,Employee_286,53.0,M,Sales,Delhi,107060.0,9,3.76,2025-07-24,95336,14262
10288,Employee_287,25.0,M,Operations,Mumbai,136923.0,9,1.39,2025-02-06,53713,9594
10289,Employee_288,39.0,F,Marketing,Chennai,29539.0,17,1.46,2024-08-08,36878,9475
10290,Employee_289,24.0,M,IT,Pune,88983.0,8,3.98,2024-11-03,38675,24190
